DHW tank charging mode [-];DHW tank charge [kWh];DHW tank charge [-];DHW tank charging rate [kW];Solar Thermal Production [kWh];Non-Renewable DHW [kWh];Heating system gas consumption [Sm3];Heating system oil consumption [L];Heating system gasoline consumption [L];Heating system coal consumption [kg];Heating system wood consumption [kg];Heating system pellet consumption [kg];Heating system LPG consumption [kg];Heating system DH consumption [kWh];Heating system electric consumption [kWh];Cooling system electric consumption [kWh];AHU electric consumption [kWh];Appliances electric consumption [kWh];Electric consumption [kWh];Primary Energy [kWh];Primary Non-Renewable Energy [kWh];CO2 Emission [kg CO2];TZ Ta [°C];TZ To [°C];TZ Tmr [°C];TZ RH [-];TZ sensible load [kW];TZ flag;TZ latent load [kW];TZ AHU pre heater load [kW];TZ AHU post heater load [kW];TZ AHU electric load [kW];TZ DHW volume flow rate [L/s];TZ DHW demand [kW];PV production [kWh];Battery State [%];Given to Batteries [kWh];Taken from the Batteries [kWh];Given to Grid [kWh];Taken from the Gird [kWh];directly from the PV [kWh];PV System self consumption;Gas Primary Non-Renewable Energy [kWh];Oil Primary Non-Renewable Energy [kWh];Wood Primary Non-Renewable Energy [kWh];Coal Primary Non-Renewable Energy [kWh];Solar Primary Non-Renewable Energy [kWh];Grid Electricity Primary Non-Renewable Energy [kWh];Gas Primary Renewable Energy [kWh];Oil Primary Renewable Energy [kWh];Wood Primary Renewable Energy [kWh];Coal Primary Renewable Energy [kWh];Solar Primary Renewable Energy [kWh];Grid Electricity Primary Renewable Energy [kWh];Gas CO2 Emission Scope 1 [kg CO2];Oil CO2 Emission Scope 1 [kg CO2];Wood CO2 Emission Scope 1 [kg CO2];Coal CO2 Emission Scope 1 [kg CO2];Solar CO2 Emission Scope 1 [kg CO2];Grid  CO2 Emission Scope 1 [kg CO2];Gas CO2 Emission Scope 2 [kg CO2];Oil CO2 Emission Scope 2 [kg CO2];Wood CO2 Emission Scope 2 [kg CO2];Coal CO2 Emission Scope 2 [kg CO2];Solar CO2 Emission Scope 2 [kg CO2];Grid  CO2 Emission Scope 2 [kg CO2];Gas CO2 Emission Scope 3 [kg CO2];Oil CO2 Emission Scope 3 [kg CO2];Wood CO2 Emission Scope 3 [kg CO2];Coal CO2 Emission Scope 3 [kg CO2];Solar CO2 Emission Scope 3 [kg CO2];Grid  CO2 Emission Scope 3 [kg CO2]
Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd BD_57 thermal zone single End Use;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;Bd Bd BD_57;
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.20;1.69;0.00;0.00;0.44;-0.00;13627.66;21.55;0.32;26.72;['heating on'];0.00;0.00;2.07;0.49;0.01;1.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.25;1.74;0.00;0.00;0.45;-0.00;13451.44;21.54;0.32;26.52;['heating on'];0.00;0.00;2.04;0.49;0.01;1.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.20;1.69;0.00;0.00;0.44;-0.00;13099.00;21.53;0.32;26.20;['heating on'];0.00;0.00;2.00;0.49;0.01;1.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.20;1.69;0.00;0.00;0.44;-0.00;13040.26;21.53;0.31;26.16;['heating on'];0.00;0.00;1.99;0.49;0.02;2.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.20;1.69;0.00;0.00;0.44;-0.00;12805.30;21.52;0.32;25.89;['heating on'];0.00;0.00;1.96;0.49;0.02;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.20;1.69;0.00;0.00;0.44;-0.00;12746.56;21.52;0.32;25.83;['heating on'];0.00;0.00;1.96;0.49;0.02;2.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.30;1.79;0.00;0.00;0.46;-0.00;12746.56;21.52;0.32;25.75;['heating on'];0.00;0.00;1.96;0.49;0.02;2.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.40;1.89;0.00;0.00;0.49;-0.00;12805.30;21.52;0.32;25.79;['heating on'];0.00;0.00;1.96;0.49;0.02;2.84;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.87;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.49;1.80;2.29;0.00;0.00;0.59;-0.00;12864.04;21.53;0.32;25.41;['heating on'];0.00;0.00;1.97;0.49;0.02;2.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0;0.00;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
